0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Year
20,SRI SATHYA SAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
21,SRIKAKULAM,46236.86,2214.4,2128.08,5368.16,2840.95,607.52,51205.89,8190.07,59395.96,396846,611845,23556135,59.36,196.12,27888,76395,219.94,2019
22,TIRUPATI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
23,VISAKHAPATANAM,40403.48,1630.25,5211.67,7522.58,2691.53,341.51,48306.68,9494.33,57801.02,326624,544551,20314946,62.2,200.88,37064,120800,242.25,2019
24,VIZIANAGARAM,53697.81,2620.51,2338.11,3874.72,2716.17,320.58,58752.1,6815.8,65567.9,367423,600660,25805713,70.23,208.4,18075,62736,229.34,2019
25,WEST GODAVARI,24749.22,942.5,8811.68,1739.9,1941.12,297.03,35502.02,2979.43,38481.46,309557,483518,12483086,40.33,199.56,44945,74086,291.26,2019
26,Y.S.R,25337.04,833.7,2641.72,4150.76,2847.81,380.82,30826.56,5365.29,36191.85,218195,340563,12116687,55.53,210.1,23055,65331,259.02,2019
,Total,405013.7,16508.22,57067.46,36115.3,33865.23,4537.6,495946.39,57161.1,553107.5,4036473,6500099,200172975,49.59,203.16,404843,1010166,251.41,2019
SNo.,District,Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Employment Provided,Employment Provided,Employment Provided,Average days of employment provided per HH,Average Wage per personday (In Rs.),Works,Works,Cost Per Personday(in Rs.),2020
SNo.,District,On Unskilled Wage,On Unskilled Wage,On Material,On Material,Adm.Exp,Adm.Exp,Total,Total,Total,Household,Persons,Persondays,Average days of employment provided per HH,Average Wage per personday (In Rs.),comp.,In-prog.,Cost Per Personday(in Rs.),2020
SNo.,District,2020-2021,Paid Liability of previous years,2020-2021,Paid Liability of previous years,2020-2021,Paid Liability of previous years,2020-2021,Paid Liability of previous years,Total,Household,Persons,Persondays,Average days of employment provided per HH,Average Wage per personday (In Rs.),comp.,In-prog.,Cost Per Personday(in Rs.),2020
1,ALLURI SITHARAMA RAJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
2,ANAKAPALLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
3,ANANTAPUR,64843.26,219.77,20452.55,13570.42,2971.23,274.29,88267.04,14064.49,102331.53,422275,765344,27996394,66.3,231.41,38333,72603,333.51,2020
4,ANNAMAYYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
5,BAPATLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
6,CHITTOOR,45848.42,154.75,24959.35,13804.52,2747.73,300.56,73555.49,14259.83,87815.32,323529,527868,19540283,60.4,233.81,57357,91214,392.4,2020
7,EAST GODAVARI,49903.11,224.22,35102.38,12986.92,3063.05,306.73,88068.53,13517.87,101586.4,427632,635436,21442961,50.14,233.04,67717,58780,420.79,2020
8,ELURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9,GUNTUR,23985.78,149.25,16304.89,8553.3,1822.92,191.67,42113.6,8894.23,51007.82,339241,579208,10732049,31.64,222.53,61634,54375,415.29,2020
10,KAKINADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
11,KONASEEMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
12,KRISHNA,28179.12,138.81,16551.39,8646.84,1826.74,195.7,46557.24,8981.34,55538.59,299413,509419,12468311,41.64,225.77,48514,57921,388.1,2020
13,KURNOOL,32659.41,201.23,16192.87,10947.07,2606.78,207.67,51459.05,11355.97,62815.02,366923,655046,14754861,40.21,220.23,48945,56626,357.84,2020
14,NANDYAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
15,NELLORE,23788.24,96.88,20367.43,12960.63,1786.22,165.02,45941.89,13222.53,59164.42,259193,412067,10737705,41.43,221.38,31660,43016,443.89,2020
16,NTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
17,PALNADU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
18,PARVATHIPURAM MANYAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
19,PRAKASAM,60128.64,193.21,32837.22,22489.75,2396.17,273.17,95362.04,22956.13,118318.17,484510,832738,26806826,55.33,223.53,39254,43266,377.1,2020
20,SRI SATHYA SAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
